example_id                                                   | status  | run_time        |
./spec/models/kenshi_spec.rb[1:7:1:4]                        | passed  | 0.03768 seconds |
./spec/models/kenshi_spec.rb[1:7:1:5]                        | passed  | 0.03097 seconds |
./spec/models/kenshi_spec.rb[1:7:1:6]                        | passed  | 0.03058 seconds |
./spec/models/kenshi_spec.rb[1:7:1:7]                        | passed  | 0.03121 seconds |
./spec/models/kenshi_spec.rb[1:7:1:8]                        | passed  | 0.0481 seconds  |
./spec/models/kenshi_spec.rb[1:7:1:9:1]                      | passed  | 0.04821 seconds |
./spec/models/kenshi_spec.rb[1:7:1:9:2]                      | passed  | 0.04459 seconds |
./spec/models/kenshi_spec.rb[1:7:1:9:3]                      | passed  | 0.04845 seconds |
./spec/models/kenshi_spec.rb[1:7:1:9:4]                      | passed  | 0.05178 seconds |
./spec/models/kenshi_spec.rb[1:7:1:9:5]                      | passed  | 0.0489 seconds  |
./spec/models/kenshi_spec.rb[1:7:1:10:1]                     | passed  | 0.04038 seconds |
./spec/models/kenshi_spec.rb[1:8:1:1]                        | passed  | 0.01068 seconds |
./spec/models/kenshi_spec.rb[1:8:2:1]                        | passed  | 0.00954 seconds |
./spec/models/kenshi_spec.rb[1:8:3:1]                        | passed  | 0.00968 seconds |
./spec/models/kenshi_spec.rb[1:8:4:1]                        | passed  | 0.01032 seconds |
./spec/models/order_spec.rb[1:1:1]                           | passed  | 0.01788 seconds |
./spec/models/order_spec.rb[1:2:1]                           | passed  | 0.00332 seconds |
./spec/models/order_spec.rb[1:2:2]                           | passed  | 0.0041 seconds  |
./spec/models/participation_spec.rb[1:1:1]                   | passed  | 0.00403 seconds |
./spec/models/participation_spec.rb[1:2:1]                   | passed  | 0.00548 seconds |
./spec/models/participation_spec.rb[1:2:2]                   | passed  | 0.00457 seconds |
./spec/models/participation_spec.rb[1:2:3]                   | passed  | 0.00683 seconds |
./spec/models/participation_spec.rb[1:3:1:1:1]               | passed  | 0.01097 seconds |
./spec/models/participation_spec.rb[1:3:2:1]                 | passed  | 0.02619 seconds |
./spec/models/participation_spec.rb[1:3:2:2]                 | passed  | 0.02365 seconds |
./spec/models/participation_spec.rb[1:3:2:3]                 | passed  | 0.04304 seconds |
./spec/models/participation_spec.rb[1:3:3:1:1]               | passed  | 0.21201 seconds |
./spec/models/participation_spec.rb[1:3:3:2:1]               | passed  | 0.0199 seconds  |
./spec/models/pool_spec.rb[1:1]                              | passed  | 0.05183 seconds |
./spec/models/pool_spec.rb[1:2:1]                            | passed  | 0.05031 seconds |
./spec/models/product_spec.rb[1:1]                           | passed  | 0.00148 seconds |
./spec/models/product_spec.rb[1:2]                           | passed  | 0.00351 seconds |
./spec/models/product_spec.rb[1:3]                           | passed  | 0.00298 seconds |
./spec/models/product_spec.rb[1:4]                           | passed  | 0.00283 seconds |
./spec/models/product_spec.rb[1:5]                           | passed  | 0.00158 seconds |
./spec/models/product_spec.rb[1:6]                           | passed  | 0.00128 seconds |
./spec/models/product_spec.rb[1:7]                           | passed  | 0.00168 seconds |
./spec/models/product_spec.rb[1:8]                           | passed  | 0.0023 seconds  |
./spec/models/product_spec.rb[1:9]                           | passed  | 0.00143 seconds |
./spec/models/product_spec.rb[1:10]                          | passed  | 0.00175 seconds |
./spec/models/product_spec.rb[1:11]                          | passed  | 0.00176 seconds |
./spec/models/product_spec.rb[1:12]                          | passed  | 0.00479 seconds |
./spec/models/product_spec.rb[1:13]                          | passed  | 0.00474 seconds |
./spec/models/product_spec.rb[1:14]                          | passed  | 0.00392 seconds |
./spec/models/product_spec.rb[1:15]                          | passed  | 0.00474 seconds |
./spec/models/product_spec.rb[1:16]                          | passed  | 0.02012 seconds |
./spec/models/product_spec.rb[1:17]                          | passed  | 0.01794 seconds |
./spec/models/product_spec.rb[1:18]                          | passed  | 0.00322 seconds |
./spec/models/product_spec.rb[1:19]                          | passed  | 0.00264 seconds |
./spec/models/product_spec.rb[1:20]                          | passed  | 0.00486 seconds |
./spec/models/product_spec.rb[1:21:1:1]                      | passed  | 0.08144 seconds |
./spec/models/product_spec.rb[1:21:2:1]                      | passed  | 0.14828 seconds |
./spec/models/product_spec.rb[1:21:3:1]                      | passed  | 0.07142 seconds |
./spec/models/purchase_spec.rb[1:1:1]                        | passed  | 0.00671 seconds |
./spec/models/purchase_spec.rb[1:2:1:1:1]                    | passed  | 0.05923 seconds |
./spec/models/purchase_spec.rb[1:2:1:2:1]                    | passed  | 0.0745 seconds  |
./spec/models/purchase_spec.rb[1:3:1:1:1:1]                  | passed  | 0.02886 seconds |
./spec/models/purchase_spec.rb[1:3:1:1:2:1:1]                | passed  | 0.02443 seconds |
./spec/models/purchase_spec.rb[1:3:1:1:2:2:1:1]              | passed  | 0.02387 seconds |
./spec/models/purchase_spec.rb[1:3:1:1:2:2:2:1]              | passed  | 0.02419 seconds |
./spec/models/purchase_spec.rb[1:4:1:1]                      | passed  | 0.09847 seconds |
./spec/models/purchase_spec.rb[1:5:1]                        | passed  | 0.00533 seconds |
./spec/models/purchase_spec.rb[1:6:1:1]                      | passed  | 0.01869 seconds |
./spec/models/purchase_spec.rb[1:6:2:1]                      | passed  | 0.00636 seconds |
./spec/models/purchase_spec.rb[1:6:3:1]                      | passed  | 0.00336 seconds |
./spec/models/slack/notifications/registration_spec.rb[1:1]  | passed  | 0.02111 seconds |
./spec/models/smart_pooler_spec.rb[1:1]                      | passed  | 0.66771 seconds |
./spec/models/smart_pooler_spec.rb[1:2]                      | passed  | 0.61141 seconds |
./spec/models/smart_pooler_spec.rb[1:3]                      | passed  | 0.6304 seconds  |
./spec/models/smart_pooler_spec.rb[1:4]                      | passed  | 0.63908 seconds |
./spec/models/smart_pooler_spec.rb[1:5]                      | passed  | 0.62414 seconds |
./spec/models/team_category_spec.rb[1:1:1]                   | passed  | 0.03149 seconds |
./spec/models/team_category_spec.rb[1:2:1]                   | passed  | 0.0095 seconds  |
./spec/models/team_category_spec.rb[1:2:2]                   | passed  | 0.00935 seconds |
./spec/models/team_category_spec.rb[1:2:3]                   | passed  | 0.01117 seconds |
./spec/models/team_category_spec.rb[1:2:4]                   | passed  | 0.0115 seconds  |
./spec/models/team_category_spec.rb[1:2:5:1]                 | passed  | 0.0484 seconds  |
./spec/models/team_category_spec.rb[1:2:5:2]                 | passed  | 0.05336 seconds |
./spec/models/team_category_spec.rb[1:2:5:3]                 | passed  | 0.04832 seconds |
./spec/models/team_category_spec.rb[1:2:5:4]                 | passed  | 0.0559 seconds  |
./spec/models/team_category_spec.rb[1:2:6:1]                 | passed  | 0.47424 seconds |
./spec/models/team_category_spec.rb[1:2:6:2]                 | passed  | 0.36872 seconds |
./spec/models/team_category_spec.rb[1:2:6:3:1]               | passed  | 0.64876 seconds |
./spec/models/team_spec.rb[1:1]                              | passed  | 0.02426 seconds |
./spec/models/team_spec.rb[1:2]                              | passed  | 0.01674 seconds |
./spec/models/team_spec.rb[1:3]                              | passed  | 0.02444 seconds |
./spec/models/team_spec.rb[1:4]                              | passed  | 0.02378 seconds |
./spec/models/team_spec.rb[1:5:1]                            | passed  | 0.0141 seconds  |
./spec/models/team_spec.rb[1:5:2]                            | passed  | 0.01659 seconds |
./spec/models/team_spec.rb[1:5:3]                            | passed  | 0.01386 seconds |
./spec/models/team_spec.rb[1:5:4]                            | passed  | 0.01369 seconds |
./spec/models/team_spec.rb[1:5:5]                            | passed  | 0.01778 seconds |
./spec/models/team_spec.rb[1:5:6]                            | passed  | 0.01747 seconds |
./spec/models/team_spec.rb[1:5:7]                            | passed  | 0.01271 seconds |
./spec/models/team_spec.rb[1:5:8]                            | passed  | 0.01521 seconds |
./spec/models/team_spec.rb[1:5:9]                            | passed  | 0.01862 seconds |
./spec/models/team_spec.rb[1:5:10]                           | passed  | 0.01487 seconds |
./spec/models/team_spec.rb[1:5:11:1]                         | passed  | 0.0413 seconds  |
./spec/models/team_spec.rb[1:5:11:2]                         | passed  | 0.03903 seconds |
./spec/models/team_spec.rb[1:5:11:3]                         | passed  | 0.04373 seconds |
./spec/models/team_spec.rb[1:5:11:4]                         | passed  | 0.03667 seconds |
./spec/models/team_spec.rb[1:5:11:5]                         | passed  | 0.04133 seconds |
./spec/models/team_spec.rb[1:5:11:6]                         | passed  | 0.04023 seconds |
./spec/models/team_spec.rb[1:5:11:7]                         | passed  | 0.0356 seconds  |
./spec/models/team_spec.rb[1:5:12:1]                         | passed  | 0.08994 seconds |
./spec/models/team_spec.rb[1:5:12:2]                         | passed  | 0.09431 seconds |
./spec/models/team_spec.rb[1:5:12:3]                         | passed  | 0.08545 seconds |
./spec/models/team_spec.rb[1:5:12:4]                         | passed  | 0.08034 seconds |
./spec/models/team_spec.rb[1:5:12:5]                         | passed  | 0.07059 seconds |
./spec/models/team_spec.rb[1:5:12:6]                         | passed  | 0.08146 seconds |
./spec/models/team_spec.rb[1:5:13:1]                         | passed  | 0.06871 seconds |
./spec/models/team_spec.rb[1:5:13:2]                         | passed  | 0.05914 seconds |
./spec/models/team_spec.rb[1:5:13:3]                         | passed  | 0.07152 seconds |
./spec/models/team_spec.rb[1:5:13:4]                         | passed  | 0.06987 seconds |
./spec/models/team_spec.rb[1:5:13:5]                         | passed  | 0.07193 seconds |
./spec/models/team_spec.rb[1:5:14:1]                         | passed  | 0.10717 seconds |
./spec/models/team_spec.rb[1:5:14:2]                         | passed  | 0.09602 seconds |
./spec/models/team_spec.rb[1:5:14:3]                         | passed  | 0.08741 seconds |
./spec/models/team_spec.rb[1:5:14:4]                         | passed  | 0.10295 seconds |
./spec/models/tree_spec.rb[1:1:1]                            | passed  | 0.315 seconds   |
./spec/models/tree_spec.rb[1:1:2:1]                          | passed  | 0.68111 seconds |
./spec/models/user_spec.rb[1:1:1]                            | passed  | 0.00408 seconds |
./spec/models/user_spec.rb[1:2:1]                            | passed  | 0.00758 seconds |
./spec/models/user_spec.rb[1:3:1:1]                          | passed  | 0.00666 seconds |
./spec/models/user_spec.rb[1:3:2:1]                          | passed  | 0.01657 seconds |
./spec/models/user_spec.rb[1:4:1]                            | passed  | 0.01764 seconds |
./spec/models/user_spec.rb[1:4:2]                            | passed  | 0.01723 seconds |
./spec/models/user_spec.rb[1:4:3]                            | passed  | 0.01676 seconds |
./spec/models/user_spec.rb[1:4:4]                            | passed  | 0.01522 seconds |
./spec/models/user_spec.rb[1:4:5]                            | passed  | 0.01923 seconds |
./spec/models/user_spec.rb[1:4:6]                            | passed  | 0.01323 seconds |
./spec/models/user_spec.rb[1:4:7]                            | passed  | 0.02261 seconds |
./spec/models/user_spec.rb[1:4:8]                            | passed  | 0.01707 seconds |
./spec/models/user_spec.rb[1:4:9:1]                          | passed  | 0.04821 seconds |
./spec/models/user_spec.rb[1:4:9:2]                          | passed  | 0.03579 seconds |
./spec/models/user_spec.rb[1:4:10:1]                         | passed  | 0.01854 seconds |
./spec/models/user_spec.rb[1:4:11:1]                         | passed  | 0.03189 seconds |
./spec/models/video_spec.rb[1:1:1]                           | passed  | 0.01131 seconds |
./spec/models/video_spec.rb[1:2:1]                           | passed  | 0.04324 seconds |
./spec/models/video_spec.rb[1:2:2]                           | passed  | 0.0202 seconds  |
./spec/models/video_spec.rb[1:2:3]                           | passed  | 0.01599 seconds |
./spec/models/video_spec.rb[1:2:4]                           | passed  | 0.01522 seconds |
./spec/models/webhook_spec.rb[1:1]                           | pending | 0.00001 seconds |
./spec/requests/cups_controller_spec.rb[1:1:1:1]             | passed  | 0.05467 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:1:1]      | passed  | 0.02621 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:1:2]      | passed  | 0.02683 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:1:3]      | passed  | 0.02208 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:1:4]      | passed  | 0.02745 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:1:5]      | passed  | 0.02434 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:2:1]      | passed  | 0.02444 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:2:2]      | passed  | 0.037 seconds   |
./spec/requests/headlines_controller_spec.rb[1:1:1:2:3]      | passed  | 0.02721 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:1:2:4]      | passed  | 0.02659 seconds |
./spec/requests/headlines_controller_spec.rb[1:1:2:1:1]      | passed  | 0.03037 seconds |
